Mortgage monthly repayments,dollars,%,Suburb
Median mortgage repayments,"1,560",--,Yackandandah
Households where mortgage repayments are less than 30% of household income,--,93.7,Yackandandah
Households with mortgage repayments greater than 30% of household income,--,6.3,Yackandandah
Median mortgage repayments,"1,504",--,Drouin
Households where mortgage repayments are less than 30% of household income,--,91.7,Drouin
Households with mortgage repayments greater than 30% of household income,--,8.3,Drouin
Median mortgage repayments,"1,400",--,Mount Baw Baw Region
Households where mortgage repayments are less than 30% of household income,--,92.3,Mount Baw Baw Region
Households with mortgage repayments greater than 30% of household income,--,7.7,Mount Baw Baw Region
Median mortgage repayments,"1,356",--,Trafalgar (Vic.)
Households where mortgage repayments are less than 30% of household income,--,92.9,Trafalgar (Vic.)
Households with mortgage repayments greater than 30% of household income,--,7.1,Trafalgar (Vic.)
Median mortgage repayments,"1,473",--,Warragul
Households where mortgage repayments are less than 30% of household income,--,94.0,Warragul
Households with mortgage repayments greater than 30% of household income,--,6.0,Warragul
Median mortgage repayments,"1,300",--,Bairnsdale
Households where mortgage repayments are less than 30% of household income,--,94.7,Bairnsdale
Households with mortgage repayments greater than 30% of household income,--,5.3,Bairnsdale
Median mortgage repayments,"1,250",--,Bruthen - Omeo
Households where mortgage repayments are less than 30% of household income,--,93.1,Bruthen - Omeo
Households with mortgage repayments greater than 30% of household income,--,6.9,Bruthen - Omeo
Median mortgage repayments,"1,300",--,Lakes Entrance
Households where mortgage repayments are less than 30% of household income,--,94.0,Lakes Entrance
Households with mortgage repayments greater than 30% of household income,--,6.0,Lakes Entrance
Median mortgage repayments,"1,023",--,Orbost
Households where mortgage repayments are less than 30% of household income,--,95.6,Orbost
Households with mortgage repayments greater than 30% of household income,--,4.4,Orbost
Median mortgage repayments,"1,207",--,Paynesville
Households where mortgage repayments are less than 30% of household income,--,95.9,Paynesville
Households with mortgage repayments greater than 30% of household income,--,4.1,Paynesville
Median mortgage repayments,"1,170",--,Foster
Households where mortgage repayments are less than 30% of household income,--,93.3,Foster
Households with mortgage repayments greater than 30% of household income,--,6.7,Foster
Median mortgage repayments,"1,323",--,Korumburra
Households where mortgage repayments are less than 30% of household income,--,91.3,Korumburra
Households with mortgage repayments greater than 30% of household income,--,8.7,Korumburra
Median mortgage repayments,"1,361",--,Leongatha
Households where mortgage repayments are less than 30% of household income,--,93.3,Leongatha
Households with mortgage repayments greater than 30% of household income,--,6.7,Leongatha
Median mortgage repayments,"1,400",--,Phillip Island
Households where mortgage repayments are less than 30% of household income,--,92.4,Phillip Island
Households with mortgage repayments greater than 30% of household income,--,7.6,Phillip Island
Median mortgage repayments,"1,300",--,Wonthaggi - Inverloch
Households where mortgage repayments are less than 30% of household income,--,93.1,Wonthaggi - Inverloch
Households with mortgage repayments greater than 30% of household income,--,6.9,Wonthaggi - Inverloch
Median mortgage repayments,"1,300",--,Churchill
Households where mortgage repayments are less than 30% of household income,--,94.4,Churchill
Households with mortgage repayments greater than 30% of household income,--,5.6,Churchill
Median mortgage repayments,"1,083",--,Moe - Newborough
Households where mortgage repayments are less than 30% of household income,--,96.0,Moe - Newborough
Households with mortgage repayments greater than 30% of household income,--,4.0,Moe - Newborough
Median mortgage repayments,953,--,Morwell
Households where mortgage repayments are less than 30% of household income,--,96.0,Morwell
Households with mortgage repayments greater than 30% of household income,--,4.0,Morwell
Median mortgage repayments,"1,352",--,Traralgon
Households where mortgage repayments are less than 30% of household income,--,94.8,Traralgon
Households with mortgage repayments greater than 30% of household income,--,5.2,Traralgon
Median mortgage repayments,"1,300",--,Yallourn North - Glengarry
Households where mortgage repayments are less than 30% of household income,--,92.8,Yallourn North - Glengarry
Households with mortgage repayments greater than 30% of household income,--,7.2,Yallourn North - Glengarry
Median mortgage repayments,"1,220",--,Longford - Loch Sport
Households where mortgage repayments are less than 30% of household income,--,93.9,Longford - Loch Sport
Households with mortgage repayments greater than 30% of household income,--,6.1,Longford - Loch Sport
Median mortgage repayments,"1,257",--,Maffra
Households where mortgage repayments are less than 30% of household income,--,94.0,Maffra
Households with mortgage repayments greater than 30% of household income,--,6.0,Maffra
Median mortgage repayments,"1,300",--,Rosedale
Households where mortgage repayments are less than 30% of household income,--,93.3,Rosedale
Households with mortgage repayments greater than 30% of household income,--,6.7,Rosedale
Median mortgage repayments,"1,300",--,Sale
Households where mortgage repayments are less than 30% of household income,--,96.0,Sale
Households with mortgage repayments greater than 30% of household income,--,4.0,Sale
Median mortgage repayments,"1,124",--,Yarram
Households where mortgage repayments are less than 30% of household income,--,94.1,Yarram
Households with mortgage repayments greater than 30% of household income,--,5.9,Yarram
Median mortgage repayments,"2,058",--,Brunswick
Households where mortgage repayments are less than 30% of household income,--,95.8,Brunswick
Households with mortgage repayments greater than 30% of household income,--,4.2,Brunswick
Median mortgage repayments,"2,000",--,Brunswick East
Households where mortgage repayments are less than 30% of household income,--,96.2,Brunswick East
Households with mortgage repayments greater than 30% of household income,--,3.8,Brunswick East
Median mortgage repayments,"1,982",--,Brunswick West
Households where mortgage repayments are less than 30% of household income,--,95.4,Brunswick West
Households with mortgage repayments greater than 30% of household income,--,4.6,Brunswick West
Median mortgage repayments,"2,000",--,Coburg
Households where mortgage repayments are less than 30% of household income,--,94.7,Coburg
Households with mortgage repayments greater than 30% of household income,--,5.3,Coburg
Median mortgage repayments,"2,000",--,Pascoe Vale South
Households where mortgage repayments are less than 30% of household income,--,93.0,Pascoe Vale South
Households with mortgage repayments greater than 30% of household income,--,7.0,Pascoe Vale South
Median mortgage repayments,"2,000",--,Alphington - Fairfield
Households where mortgage repayments are less than 30% of household income,--,96.2,Alphington - Fairfield
Households with mortgage repayments greater than 30% of household income,--,3.8,Alphington - Fairfield
Median mortgage repayments,"2,167",--,Northcote
Households where mortgage repayments are less than 30% of household income,--,95.6,Northcote
Households with mortgage repayments greater than 30% of household income,--,4.4,Northcote
Median mortgage repayments,"2,000",--,Thornbury
Households where mortgage repayments are less than 30% of household income,--,95.2,Thornbury
Households with mortgage repayments greater than 30% of household income,--,4.8,Thornbury
Median mortgage repayments,"2,178",--,Ascot Vale
Households where mortgage repayments are less than 30% of household income,--,94.5,Ascot Vale
Households with mortgage repayments greater than 30% of household income,--,5.5,Ascot Vale
Median mortgage repayments,"2,167",--,Essendon - Aberfeldie
Households where mortgage repayments are less than 30% of household income,--,94.8,Essendon - Aberfeldie
Households with mortgage repayments greater than 30% of household income,--,5.2,Essendon - Aberfeldie
Median mortgage repayments,"1,990",--,Flemington
Households where mortgage repayments are less than 30% of household income,--,96.7,Flemington
Households with mortgage repayments greater than 30% of household income,--,3.3,Flemington
Median mortgage repayments,"2,167",--,Moonee Ponds
Households where mortgage repayments are less than 30% of household income,--,95.5,Moonee Ponds
Households with mortgage repayments greater than 30% of household income,--,4.5,Moonee Ponds
Median mortgage repayments,"1,869",--,Carlton
Households where mortgage repayments are less than 30% of household income,--,97.5,Carlton
Households with mortgage repayments greater than 30% of household income,--,2.5,Carlton
Median mortgage repayments,"2,167",--,Docklands
Households where mortgage repayments are less than 30% of household income,--,93.2,Docklands
Households with mortgage repayments greater than 30% of household income,--,6.8,Docklands
Median mortgage repayments,"2,192",--,East Melbourne
Households where mortgage repayments are less than 30% of household income,--,96.2,East Melbourne
Households with mortgage repayments greater than 30% of household income,--,3.8,East Melbourne
Median mortgage repayments,"2,019",--,Kensington (Vic.)
Households where mortgage repayments are less than 30% of household income,--,95.3,Kensington (Vic.)
Households with mortgage repayments greater than 30% of household income,--,4.7,Kensington (Vic.)
Median mortgage repayments,"1,700",--,Melbourne
Households where mortgage repayments are less than 30% of household income,--,94.7,Melbourne
Households with mortgage repayments greater than 30% of household income,--,5.3,Melbourne
Median mortgage repayments,"2,058",--,North Melbourne
Households where mortgage repayments are less than 30% of household income,--,96.1,North Melbourne
Households with mortgage repayments greater than 30% of household income,--,3.9,North Melbourne
Median mortgage repayments,"2,000",--,Parkville
Households where mortgage repayments are less than 30% of household income,--,96.9,Parkville
Households with mortgage repayments greater than 30% of household income,--,3.1,Parkville
Median mortgage repayments,"2,000",--,South Yarra - West
Households where mortgage repayments are less than 30% of household income,--,96.2,South Yarra - West
Households with mortgage repayments greater than 30% of household income,--,3.8,South Yarra - West
Median mortgage repayments,"2,000",--,Southbank
Households where mortgage repayments are less than 30% of household income,--,94.5,Southbank
Households with mortgage repayments greater than 30% of household income,--,5.5,Southbank
Median mortgage repayments,"2,500",--,Albert Park
Households where mortgage repayments are less than 30% of household income,--,94.4,Albert Park
Households with mortgage repayments greater than 30% of household income,--,5.6,Albert Park
Median mortgage repayments,"2,167",--,Elwood
Households where mortgage repayments are less than 30% of household income,--,95.3,Elwood
Households with mortgage repayments greater than 30% of household income,--,4.7,Elwood
Median mortgage repayments,"2,500",--,Port Melbourne
Households where mortgage repayments are less than 30% of household income,--,94.5,Port Melbourne
Households with mortgage repayments greater than 30% of household income,--,5.5,Port Melbourne
Median mortgage repayments,"2,167",--,South Melbourne
Households where mortgage repayments are less than 30% of household income,--,95.8,South Melbourne
Households with mortgage repayments greater than 30% of household income,--,4.2,South Melbourne
Median mortgage repayments,"2,000",--,St Kilda
Households where mortgage repayments are less than 30% of household income,--,95.5,St Kilda
Households with mortgage repayments greater than 30% of household income,--,4.5,St Kilda
Median mortgage repayments,"2,000",--,St Kilda East
Households where mortgage repayments are less than 30% of household income,--,94.8,St Kilda East
Households with mortgage repayments greater than 30% of household income,--,5.2,St Kilda East
Median mortgage repayments,"2,400",--,Armadale
Households where mortgage repayments are less than 30% of household income,--,95.2,Armadale
Households with mortgage repayments greater than 30% of household income,--,4.8,Armadale
Median mortgage repayments,"2,167",--,Prahran - Windsor
Households where mortgage repayments are less than 30% of household income,--,95.7,Prahran - Windsor
Households with mortgage repayments greater than 30% of household income,--,4.3,Prahran - Windsor
Median mortgage repayments,"2,000",--,South Yarra - East
Households where mortgage repayments are less than 30% of household income,--,95.9,South Yarra - East
Households with mortgage repayments greater than 30% of household income,--,4.1,South Yarra - East
Median mortgage repayments,"2,500",--,Toorak
Households where mortgage repayments are less than 30% of household income,--,94.3,Toorak
Households with mortgage repayments greater than 30% of household income,--,5.7,Toorak
Median mortgage repayments,"2,142",--,Abbotsford
Households where mortgage repayments are less than 30% of household income,--,95.5,Abbotsford
Households with mortgage repayments greater than 30% of household income,--,4.5,Abbotsford
Median mortgage repayments,"2,167",--,Carlton North - Princes Hill
Households where mortgage repayments are less than 30% of household income,--,96.8,Carlton North - Princes Hill
Households with mortgage repayments greater than 30% of household income,--,3.2,Carlton North - Princes Hill
Median mortgage repayments,"2,180",--,Collingwood
Households where mortgage repayments are less than 30% of household income,--,95.9,Collingwood
Households with mortgage repayments greater than 30% of household income,--,4.1,Collingwood
Median mortgage repayments,"2,286",--,Fitzroy
Households where mortgage repayments are less than 30% of household income,--,95.9,Fitzroy
Households with mortgage repayments greater than 30% of household income,--,4.1,Fitzroy
Median mortgage repayments,"2,167",--,Fitzroy North
Households where mortgage repayments are less than 30% of household income,--,96.1,Fitzroy North
Households with mortgage repayments greater than 30% of household income,--,3.9,Fitzroy North
Median mortgage repayments,"2,200",--,Richmond (Vic.)
Households where mortgage repayments are less than 30% of household income,--,95.7,Richmond (Vic.)
Households with mortgage repayments greater than 30% of household income,--,4.3,Richmond (Vic.)
Median mortgage repayments,"2,300",--,Yarra - North
Households where mortgage repayments are less than 30% of household income,--,95.3,Yarra - North
Households with mortgage repayments greater than 30% of household income,--,4.7,Yarra - North
Median mortgage repayments,"2,500",--,Ashburton (Vic.)
Households where mortgage repayments are less than 30% of household income,--,93.6,Ashburton (Vic.)
Households with mortgage repayments greater than 30% of household income,--,6.4,Ashburton (Vic.)
Median mortgage repayments,"2,500",--,Balwyn
Households where mortgage repayments are less than 30% of household income,--,91.7,Balwyn
Households with mortgage repayments greater than 30% of household income,--,8.3,Balwyn
Median mortgage repayments,"2,500",--,Balwyn North
Households where mortgage repayments are less than 30% of household income,--,91.2,Balwyn North
Households with mortgage repayments greater than 30% of household income,--,8.8,Balwyn North
Median mortgage repayments,"2,500",--,Camberwell
Households where mortgage repayments are less than 30% of household income,--,93.9,Camberwell
Households with mortgage repayments greater than 30% of household income,--,6.1,Camberwell
Median mortgage repayments,"2,529",--,Glen Iris - East
Households where mortgage repayments are less than 30% of household income,--,93.7,Glen Iris - East
Households with mortgage repayments greater than 30% of household income,--,6.3,Glen Iris - East
Median mortgage repayments,"2,200",--,Hawthorn
Households where mortgage repayments are less than 30% of household income,--,95.5,Hawthorn
Households with mortgage repayments greater than 30% of household income,--,4.5,Hawthorn
Median mortgage repayments,"2,300",--,Hawthorn East
Households where mortgage repayments are less than 30% of household income,--,95.2,Hawthorn East
Households with mortgage repayments greater than 30% of household income,--,4.8,Hawthorn East
Median mortgage repayments,"2,500",--,Kew
Households where mortgage repayments are less than 30% of household income,--,93.6,Kew
Households with mortgage repayments greater than 30% of household income,--,6.4,Kew
Median mortgage repayments,"2,500",--,Kew East
Households where mortgage repayments are less than 30% of household income,--,92.7,Kew East
Households with mortgage repayments greater than 30% of household income,--,7.3,Kew East
Median mortgage repayments,"2,600",--,Surrey Hills (West) - Canterbury
Households where mortgage repayments are less than 30% of household income,--,92.4,Surrey Hills (West) - Canterbury
Households with mortgage repayments greater than 30% of household income,--,7.6,Surrey Hills (West) - Canterbury
Median mortgage repayments,"2,000",--,Bulleen
Households where mortgage repayments are less than 30% of household income,--,93.5,Bulleen
Households with mortgage repayments greater than 30% of household income,--,6.5,Bulleen
Median mortgage repayments,"2,000",--,Doncaster
Households where mortgage repayments are less than 30% of household income,--,92.2,Doncaster
Households with mortgage repayments greater than 30% of household income,--,7.8,Doncaster
Median mortgage repayments,"2,167",--,Templestowe
Households where mortgage repayments are less than 30% of household income,--,91.0,Templestowe
Households with mortgage repayments greater than 30% of household income,--,9.0,Templestowe
Median mortgage repayments,"2,064",--,Templestowe Lower
Households where mortgage repayments are less than 30% of household income,--,91.8,Templestowe Lower
Households with mortgage repayments greater than 30% of household income,--,8.2,Templestowe Lower
Median mortgage repayments,"2,100",--,Doncaster East (North)
Households where mortgage repayments are less than 30% of household income,--,90.4,Doncaster East (North)
Households with mortgage repayments greater than 30% of household income,--,9.6,Doncaster East (North)
Median mortgage repayments,"2,000",--,Doncaster East (South)
Households where mortgage repayments are less than 30% of household income,--,91.6,Doncaster East (South)
Households with mortgage repayments greater than 30% of household income,--,8.4,Doncaster East (South)
Median mortgage repayments,"2,000",--,Blackburn
Households where mortgage repayments are less than 30% of household income,--,93.1,Blackburn
Households with mortgage repayments greater than 30% of household income,--,6.9,Blackburn
Median mortgage repayments,"2,000",--,Blackburn South
Households where mortgage repayments are less than 30% of household income,--,92.8,Blackburn South
Households with mortgage repayments greater than 30% of household income,--,7.2,Blackburn South
Median mortgage repayments,"2,000",--,Box Hill
Households where mortgage repayments are less than 30% of household income,--,93.2,Box Hill
Households with mortgage repayments greater than 30% of household income,--,6.8,Box Hill
Median mortgage repayments,"2,000",--,Box Hill North
Households where mortgage repayments are less than 30% of household income,--,92.2,Box Hill North
Households with mortgage repayments greater than 30% of household income,--,7.8,Box Hill North
Median mortgage repayments,"2,000",--,Burwood
Households where mortgage repayments are less than 30% of household income,--,93.2,Burwood
Households with mortgage repayments greater than 30% of household income,--,6.8,Burwood
Median mortgage repayments,"2,000",--,Burwood East
Households where mortgage repayments are less than 30% of household income,--,93.2,Burwood East
Households with mortgage repayments greater than 30% of household income,--,6.8,Burwood East
Median mortgage repayments,"2,300",--,Surrey Hills (East) - Mont Albert
Households where mortgage repayments are less than 30% of household income,--,94.5,Surrey Hills (East) - Mont Albert
Households with mortgage repayments greater than 30% of household income,--,5.5,Surrey Hills (East) - Mont Albert
Median mortgage repayments,"2,600",--,Beaumaris
Households where mortgage repayments are less than 30% of household income,--,93.2,Beaumaris
Households with mortgage repayments greater than 30% of household income,--,6.8,Beaumaris
Median mortgage repayments,"2,992",--,Brighton (Vic.)
Households where mortgage repayments are less than 30% of household income,--,93.5,Brighton (Vic.)
Households with mortgage repayments greater than 30% of household income,--,6.5,Brighton (Vic.)
Median mortgage repayments,"2,500",--,Brighton East
Households where mortgage repayments are less than 30% of household income,--,92.4,Brighton East
Households with mortgage repayments greater than 30% of household income,--,7.6,Brighton East
Median mortgage repayments,"2,167",--,Cheltenham - Highett (West)
Households where mortgage repayments are less than 30% of household income,--,93.2,Cheltenham - Highett (West)
Households with mortgage repayments greater than 30% of household income,--,6.8,Cheltenham - Highett (West)
Median mortgage repayments,"2,500",--,Hampton
Households where mortgage repayments are less than 30% of household income,--,94.4,Hampton
Households with mortgage repayments greater than 30% of household income,--,5.6,Hampton
Median mortgage repayments,"2,500",--,Sandringham - Black Rock
Households where mortgage repayments are less than 30% of household income,--,94.2,Sandringham - Black Rock
Households with mortgage repayments greater than 30% of household income,--,5.8,Sandringham - Black Rock
Median mortgage repayments,"2,167",--,Bentleigh - McKinnon
Households where mortgage repayments are less than 30% of household income,--,93.7,Bentleigh - McKinnon
Households with mortgage repayments greater than 30% of household income,--,6.3,Bentleigh - McKinnon
Median mortgage repayments,"2,000",--,Carnegie
Households where mortgage repayments are less than 30% of household income,--,94.7,Carnegie
Households with mortgage repayments greater than 30% of household income,--,5.3,Carnegie
Median mortgage repayments,"2,167",--,Caulfield - North
Households where mortgage repayments are less than 30% of household income,--,94.8,Caulfield - North
Households with mortgage repayments greater than 30% of household income,--,5.2,Caulfield - North
Median mortgage repayments,"2,300",--,Caulfield - South
Households where mortgage repayments are less than 30% of household income,--,93.5,Caulfield - South
Households with mortgage repayments greater than 30% of household income,--,6.5,Caulfield - South
Median mortgage repayments,"2,167",--,Elsternwick
Households where mortgage repayments are less than 30% of household income,--,95.3,Elsternwick
Households with mortgage repayments greater than 30% of household income,--,4.7,Elsternwick
Median mortgage repayments,"2,000",--,Hughesdale
Households where mortgage repayments are less than 30% of household income,--,94.1,Hughesdale
Households with mortgage repayments greater than 30% of household income,--,5.9,Hughesdale
Median mortgage repayments,"2,000",--,Murrumbeena
Households where mortgage repayments are less than 30% of household income,--,93.7,Murrumbeena
Households with mortgage repayments greater than 30% of household income,--,6.3,Murrumbeena
Median mortgage repayments,"2,000",--,Ormond - Glen Huntly
Households where mortgage repayments are less than 30% of household income,--,93.7,Ormond - Glen Huntly
Households with mortgage repayments greater than 30% of household income,--,6.3,Ormond - Glen Huntly
Median mortgage repayments,"2,123",--,Bentleigh East (North)
Households where mortgage repayments are less than 30% of household income,--,91.7,Bentleigh East (North)
Households with mortgage repayments greater than 30% of household income,--,8.3,Bentleigh East (North)
Median mortgage repayments,"2,124",--,Bentleigh East (South)
Households where mortgage repayments are less than 30% of household income,--,92.6,Bentleigh East (South)
Households with mortgage repayments greater than 30% of household income,--,7.4,Bentleigh East (South)
Median mortgage repayments,"2,000",--,Aspendale Gardens - Waterways
Households where mortgage repayments are less than 30% of household income,--,90.1,Aspendale Gardens - Waterways
Households with mortgage repayments greater than 30% of household income,--,9.9,Aspendale Gardens - Waterways
Median mortgage repayments,"1,950",--,Carrum - Patterson Lakes
Households where mortgage repayments are less than 30% of household income,--,91.6,Carrum - Patterson Lakes
Households with mortgage repayments greater than 30% of household income,--,8.4,Carrum - Patterson Lakes
Median mortgage repayments,"1,828",--,Chelsea - Bonbeach
Households where mortgage repayments are less than 30% of household income,--,92.9,Chelsea - Bonbeach
Households with mortgage repayments greater than 30% of household income,--,7.1,Chelsea - Bonbeach
Median mortgage repayments,"1,800",--,Chelsea Heights
Households where mortgage repayments are less than 30% of household income,--,91.8,Chelsea Heights
Households with mortgage repayments greater than 30% of household income,--,8.2,Chelsea Heights
Median mortgage repayments,"2,000",--,Cheltenham - Highett (East)
Households where mortgage repayments are less than 30% of household income,--,91.7,Cheltenham - Highett (East)
Households with mortgage repayments greater than 30% of household income,--,8.3,Cheltenham - Highett (East)
Median mortgage repayments,"2,000",--,Edithvale - Aspendale
Households where mortgage repayments are less than 30% of household income,--,92.9,Edithvale - Aspendale
Households with mortgage repayments greater than 30% of household income,--,7.1,Edithvale - Aspendale
Median mortgage repayments,"2,000",--,Mentone
Households where mortgage repayments are less than 30% of household income,--,93.5,Mentone
Households with mortgage repayments greater than 30% of household income,--,6.5,Mentone
Median mortgage repayments,"2,000",--,Moorabbin - Heatherton
Households where mortgage repayments are less than 30% of household income,--,90.4,Moorabbin - Heatherton
Households with mortgage repayments greater than 30% of household income,--,9.6,Moorabbin - Heatherton
Median mortgage repayments,"2,000",--,Mordialloc - Parkdale
Households where mortgage repayments are less than 30% of household income,--,93.1,Mordialloc - Parkdale
Households with mortgage repayments greater than 30% of household income,--,6.9,Mordialloc - Parkdale
Median mortgage repayments,"2,500",--,Malvern - Glen Iris
Households where mortgage repayments are less than 30% of household income,--,94.8,Malvern - Glen Iris
Households with mortgage repayments greater than 30% of household income,--,5.2,Malvern - Glen Iris
Median mortgage repayments,"2,400",--,Malvern East
Households where mortgage repayments are less than 30% of household income,--,94.7,Malvern East
Households with mortgage repayments greater than 30% of household income,--,5.3,Malvern East
Median mortgage repayments,"1,733",--,Bundoora - East
Households where mortgage repayments are less than 30% of household income,--,92.3,Bundoora - East
Households with mortgage repayments greater than 30% of household income,--,7.7,Bundoora - East
Median mortgage repayments,"1,900",--,Greensborough
Households where mortgage repayments are less than 30% of household income,--,92.6,Greensborough
Households with mortgage repayments greater than 30% of household income,--,7.4,Greensborough
Median mortgage repayments,"2,106",--,Heidelberg - Rosanna
Households where mortgage repayments are less than 30% of household income,--,95.0,Heidelberg - Rosanna
Households with mortgage repayments greater than 30% of household income,--,5.0,Heidelberg - Rosanna
Median mortgage repayments,"1,800",--,Heidelberg West
Households where mortgage repayments are less than 30% of household income,--,94.2,Heidelberg West
Households with mortgage repayments greater than 30% of household income,--,5.8,Heidelberg West
Median mortgage repayments,"2,167",--,Ivanhoe
Households where mortgage repayments are less than 30% of household income,--,94.6,Ivanhoe
Households with mortgage repayments greater than 30% of household income,--,5.4,Ivanhoe
Median mortgage repayments,"2,500",--,Ivanhoe East - Eaglemont
Households where mortgage repayments are less than 30% of household income,--,94.0,Ivanhoe East - Eaglemont
Households with mortgage repayments greater than 30% of household income,--,6.0,Ivanhoe East - Eaglemont
Median mortgage repayments,"1,950",--,Montmorency - Briar Hill
Households where mortgage repayments are less than 30% of household income,--,92.5,Montmorency - Briar Hill
Households with mortgage repayments greater than 30% of household income,--,7.5,Montmorency - Briar Hill
Median mortgage repayments,"1,950",--,Viewbank - Yallambie
Households where mortgage repayments are less than 30% of household income,--,93.6,Viewbank - Yallambie
Households with mortgage repayments greater than 30% of household income,--,6.4,Viewbank - Yallambie
Median mortgage repayments,"1,800",--,Watsonia
Households where mortgage repayments are less than 30% of household income,--,93.4,Watsonia
Households with mortgage repayments greater than 30% of household income,--,6.6,Watsonia
Median mortgage repayments,"1,800",--,Kingsbury
Households where mortgage repayments are less than 30% of household income,--,92.2,Kingsbury
Households with mortgage repayments greater than 30% of household income,--,7.8,Kingsbury
Median mortgage repayments,"1,700",--,Reservoir - East
Households where mortgage repayments are less than 30% of household income,--,93.1,Reservoir - East
Households with mortgage repayments greater than 30% of household income,--,6.9,Reservoir - East
Median mortgage repayments,"1,800",--,Reservoir - West
Households where mortgage repayments are less than 30% of household income,--,93.7,Reservoir - West
Households with mortgage repayments greater than 30% of household income,--,6.3,Reservoir - West
Median mortgage repayments,"1,950",--,Preston - East
Households where mortgage repayments are less than 30% of household income,--,93.9,Preston - East
Households with mortgage repayments greater than 30% of household income,--,6.1,Preston - East
Median mortgage repayments,"1,949",--,Preston - West
Households where mortgage repayments are less than 30% of household income,--,94.3,Preston - West
Households with mortgage repayments greater than 30% of household income,--,5.7,Preston - West
Median mortgage repayments,"2,000",--,Eltham
Households where mortgage repayments are less than 30% of household income,--,92.1,Eltham
Households with mortgage repayments greater than 30% of household income,--,7.9,Eltham
Median mortgage repayments,"1,842",--,Hurstbridge
Households where mortgage repayments are less than 30% of household income,--,88.6,Hurstbridge
Households with mortgage repayments greater than 30% of household income,--,11.4,Hurstbridge
Median mortgage repayments,"1,600",--,Kinglake
Households where mortgage repayments are less than 30% of household income,--,85.8,Kinglake
Households with mortgage repayments greater than 30% of household income,--,14.2,Kinglake
Median mortgage repayments,"1,993",--,Panton Hill - St Andrews
Households where mortgage repayments are less than 30% of household income,--,89.7,Panton Hill - St Andrews
Households with mortgage repayments greater than 30% of household income,--,10.3,Panton Hill - St Andrews
Median mortgage repayments,"2,058",--,Plenty - Yarrambat
Households where mortgage repayments are less than 30% of household income,--,90.4,Plenty - Yarrambat
Households with mortgage repayments greater than 30% of household income,--,9.6,Plenty - Yarrambat
Median mortgage repayments,"2,167",--,Research - North Warrandyte
Households where mortgage repayments are less than 30% of household income,--,91.1,Research - North Warrandyte
Households with mortgage repayments greater than 30% of household income,--,8.9,Research - North Warrandyte
Median mortgage repayments,"1,960",--,Wattle Glen - Diamond Creek
Households where mortgage repayments are less than 30% of household income,--,91.1,Wattle Glen - Diamond Creek
Households with mortgage repayments greater than 30% of household income,--,8.9,Wattle Glen - Diamond Creek
Median mortgage repayments,"1,950",--,Bundoora - North
Households where mortgage repayments are less than 30% of household income,--,91.0,Bundoora - North
Households with mortgage repayments greater than 30% of household income,--,9.0,Bundoora - North
Median mortgage repayments,"1,690",--,Bundoora - West
Households where mortgage repayments are less than 30% of household income,--,92.8,Bundoora - West
Households with mortgage repayments greater than 30% of household income,--,7.2,Bundoora - West
Median mortgage repayments,"1,674",--,Lalor
Households where mortgage repayments are less than 30% of household income,--,91.2,Lalor
Households with mortgage repayments greater than 30% of household income,--,8.8,Lalor
Median mortgage repayments,"1,600",--,Mill Park - North
Households where mortgage repayments are less than 30% of household income,--,91.1,Mill Park - North
Households with mortgage repayments greater than 30% of household income,--,8.9,Mill Park - North
Median mortgage repayments,"1,612",--,Mill Park - South
Households where mortgage repayments are less than 30% of household income,--,91.5,Mill Park - South
Households with mortgage repayments greater than 30% of household income,--,8.5,Mill Park - South
Median mortgage repayments,"1,517",--,Thomastown
Households where mortgage repayments are less than 30% of household income,--,92.5,Thomastown
Households with mortgage repayments greater than 30% of household income,--,7.5,Thomastown
Median mortgage repayments,"1,733",--,Wallan
Households where mortgage repayments are less than 30% of household income,--,86.5,Wallan
Households with mortgage repayments greater than 30% of household income,--,13.5,Wallan
Median mortgage repayments,"1,733",--,Whittlesea
Households where mortgage repayments are less than 30% of household income,--,90.3,Whittlesea
Households with mortgage repayments greater than 30% of household income,--,9.7,Whittlesea
Median mortgage repayments,"1,960",--,Doreen
Households where mortgage repayments are less than 30% of household income,--,86.0,Doreen
Households with mortgage repayments greater than 30% of household income,--,14.0,Doreen
Median mortgage repayments,"1,600",--,Epping - East
Households where mortgage repayments are less than 30% of household income,--,88.9,Epping - East
Households with mortgage repayments greater than 30% of household income,--,11.1,Epping - East
Median mortgage repayments,"1,500",--,Epping - South
Households where mortgage repayments are less than 30% of household income,--,91.2,Epping - South
Households with mortgage repayments greater than 30% of household income,--,8.8,Epping - South
Median mortgage repayments,"1,890",--,Epping - West
Households where mortgage repayments are less than 30% of household income,--,81.7,Epping - West
Households with mortgage repayments greater than 30% of household income,--,18.3,Epping - West
Median mortgage repayments,"1,900",--,Mernda
Households where mortgage repayments are less than 30% of household income,--,85.2,Mernda
Households with mortgage repayments greater than 30% of household income,--,14.8,Mernda
Median mortgage repayments,"1,967",--,South Morang (North)
Households where mortgage repayments are less than 30% of household income,--,83.8,South Morang (North)
Households with mortgage repayments greater than 30% of household income,--,16.2,South Morang (North)
Median mortgage repayments,"1,733",--,South Morang (South)
Households where mortgage repayments are less than 30% of household income,--,87.8,South Morang (South)
Households with mortgage repayments greater than 30% of household income,--,12.2,South Morang (South)
Median mortgage repayments,"2,000",--,Wollert
Households where mortgage repayments are less than 30% of household income,--,77.0,Wollert
